Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period
Table 5,Counts of businesses,By business size,0 to 19,Maori tourism,Counts,225,2019
Table 5,Counts of businesses,By business size,0 to 19,Maori tourism,Counts,225,2020
Table 5,Counts of businesses,By business size,0 to 19,Maori tourism,Counts,246,2021
Table 5,Counts of businesses,By business size,0 to 19,Maori tourism,Counts,255,2022
Table 5,Counts of businesses,By business size,20 to 49,Maori tourism,Counts,33,2017
Table 5,Counts of businesses,By business size,20 to 49,Maori tourism,Counts,30,2018
Table 5,Counts of businesses,By business size,20 to 49,Maori tourism,Counts,24,2019
Table 5,Counts of businesses,By business size,20 to 49,Maori tourism,Counts,24,2020
Table 5,Counts of businesses,By business size,20 to 49,Maori tourism,Counts,12,2021
Table 5,Counts of businesses,By business size,20 to 49,Maori tourism,Counts,15,2022
Table 5,Counts of businesses,By business size,50+,Maori tourism,Counts,15,2017
Table 5,Counts of businesses,By business size,50+,Maori tourism,Counts,15,2018
Table 5,Counts of businesses,By business size,50+,Maori tourism,Counts,18,2019
Table 5,Counts of businesses,By business size,50+,Maori tourism,Counts,24,2020
Table 5,Counts of businesses,By business size,50+,Maori tourism,Counts,15,2021
Table 5,Counts of businesses,By business size,50+,Maori tourism,Counts,15,2022
Table 5,Counts of businesses,By business size,Total,Maori tourism,Counts,261,2017
Table 5,Counts of businesses,By business size,Total,Maori tourism,Counts,261,2018
Table 5,Counts of businesses,By business size,Total,Maori tourism,Counts,270,2019
Table 5,Counts of businesses,By business size,Total,Maori tourism,Counts,273,2020
Table 5,Counts of businesses,By business size,Total,Maori tourism,Counts,273,2021
Table 5,Counts of businesses,By business size,Total,Maori tourism,Counts,282,2022
Table 6,Count of employees,By business size,0 to 19,Maori authorities,Count,2000,2017
Table 6,Count of employees,By business size,0 to 19,Maori authorities,Count,2050,2018
Table 6,Count of employees,By business size,0 to 19,Maori authorities,Count,2100,2019
Table 6,Count of employees,By business size,0 to 19,Maori authorities,Count,2050,2020
Table 6,Count of employees,By business size,0 to 19,Maori authorities,Count,2100,2021
Table 6,Count of employees,By business size,0 to 19,Maori authorities,Count,2000,2022
Table 6,Count of employees,By business size,20 to 49,Maori authorities,Count,1100,2017
Table 6,Count of employees,By business size,20 to 49,Maori authorities,Count,1000,2018
Table 6,Count of employees,By business size,20 to 49,Maori authorities,Count,1100,2019
Table 6,Count of employees,By business size,20 to 49,Maori authorities,Count,1350,2020
Table 6,Count of employees,By business size,20 to 49,Maori authorities,Count,1650,2021
Table 6,Count of employees,By business size,20 to 49,Maori authorities,Count,1800,2022
Table 6,Count of employees,By business size,50 to 99,Maori authorities,Count,1800,2017
Table 6,Count of employees,By business size,50 to 99,Maori authorities,Count,1650,2018
Table 6,Count of employees,By business size,50 to 99,Maori authorities,Count,1950,2019
Table 6,Count of employees,By business size,50 to 99,Maori authorities,Count,1700,2020
Table 6,Count of employees,By business size,50 to 99,Maori authorities,Count,2050,2021
Table 6,Count of employees,By business size,50 to 99,Maori authorities,Count,2000,2022
Table 6,Count of employees,By business size,100+,Maori authorities,Count,6300,2017
Table 6,Count of employees,By business size,100+,Maori authorities,Count,6700,2018
Table 6,Count of employees,By business size,100+,Maori authorities,Count,7000,2019
Table 6,Count of employees,By business size,100+,Maori authorities,Count,7400,2020
Table 6,Count of employees,By business size,100+,Maori authorities,Count,4850,2021
Table 6,Count of employees,By business size,100+,Maori authorities,Count,6000,2022
Table 6,Count of employees,By business size,Total,Maori authorities,Count,11200,2017
Table 6,Count of employees,By business size,Total,Maori authorities,Count,11400,2018
Table 6,Count of employees,By business size,Total,Maori authorities,Count,12200,2019
Table 6,Count of employees,By business size,Total,Maori authorities,Count,12500,2020
Table 6,Count of employees,By business size,Total,Maori authorities,Count,10600,2021
Table 6,Count of employees,By business size,Total,Maori authorities,Count,11800,2022
Table 6,Count of employees,By business size,0 to 19,Other Maori enterprises,Count,4950,2017
Table 6,Count of employees,By business size,0 to 19,Other Maori enterprises,Count,5300,2018
Table 6,Count of employees,By business size,0 to 19,Other Maori enterprises,Count,5300,2019
Table 6,Count of employees,By business size,0 to 19,Other Maori enterprises,Count,5900,2020
Table 6,Count of employees,By business size,0 to 19,Other Maori enterprises,Count,6500,2021
Table 6,Count of employees,By business size,0 to 19,Other Maori enterprises,Count,7000,2022
Table 6,Count of employees,By business size,20 to 49,Other Maori enterprises,Count,4950,2017
Table 6,Count of employees,By business size,20 to 49,Other Maori enterprises,Count,5300,2018
Table 6,Count of employees,By business size,20 to 49,Other Maori enterprises,Count,5800,2019
Table 6,Count of employees,By business size,20 to 49,Other Maori enterprises,Count,5100,2020
Table 6,Count of employees,By business size,20 to 49,Other Maori enterprises,Count,5800,2021
Table 6,Count of employees,By business size,20 to 49,Other Maori enterprises,Count,6500,2022
Table 6,Count of employees,By business size,50 to 99,Other Maori enterprises,Count,4600,2017
Table 6,Count of employees,By business size,50 to 99,Other Maori enterprises,Count,4350,2018
Table 6,Count of employees,By business size,50 to 99,Other Maori enterprises,Count,4750,2019
Table 6,Count of employees,By business size,50 to 99,Other Maori enterprises,Count,6000,2020
Table 6,Count of employees,By business size,50 to 99,Other Maori enterprises,Count,6200,2021
Table 6,Count of employees,By business size,50 to 99,Other Maori enterprises,Count,6000,2022
Table 6,Count of employees,By business size,100+,Other Maori enterprises,Count,5200,2017
Table 6,Count of employees,By business size,100+,Other Maori enterprises,Count,6700,2018
Table 6,Count of employees,By business size,100+,Other Maori enterprises,Count,7300,2019
Table 6,Count of employees,By business size,100+,Other Maori enterprises,Count,8200,2020
Table 6,Count of employees,By business size,100+,Other Maori enterprises,Count,8700,2021
Table 6,Count of employees,By business size,100+,Other Maori enterprises,Count,10200,2022
Table 6,Count of employees,By business size,Total,Other Maori enterprises,Count,19600,2017
Table 6,Count of employees,By business size,Total,Other Maori enterprises,Count,21700,2018
Table 6,Count of employees,By business size,Total,Other Maori enterprises,Count,23200,2019
Table 6,Count of employees,By business size,Total,Other Maori enterprises,Count,25300,2020
Table 6,Count of employees,By business size,Total,Other Maori enterprises,Count,27200,2021
Table 6,Count of employees,By business size,Total,Other Maori enterprises,Count,29800,2022
Table 6,Count of employees,By business size,0 to 19,Maori tourism,Count,650,2017
Table 6,Count of employees,By business size,0 to 19,Maori tourism,Count,670,2018
Table 6,Count of employees,By business size,0 to 19,Maori tourism,Count,710,2019
Table 6,Count of employees,By business size,0 to 19,Maori tourism,Count,670,2020
Table 6,Count of employees,By business size,0 to 19,Maori tourism,Count,850,2021
Table 6,Count of employees,By business size,0 to 19,Maori tourism,Count,770,2022
Table 6,Count of employees,By business size,20 to 49,Maori tourism,Count,880,2017
Table 6,Count of employees,By business size,20 to 49,Maori tourism,Count,900,2018
Table 6,Count of employees,By business size,20 to 49,Maori tourism,Count,740,2019
Table 6,Count of employees,By business size,20 to 49,Maori tourism,Count,610,2020
Table 6,Count of employees,By business size,20 to 49,Maori tourism,Count,380,2021
Table 6,Count of employees,By business size,20 to 49,Maori tourism,Count,470,2022
Table 6,Count of employees,By business size,50+,Maori tourism,Count,1100,2017
Table 6,Count of employees,By business size,50+,Maori tourism,Count,1200,2018
Table 6,Count of employees,By business size,50+,Maori tourism,Count,1300,2019
Table 6,Count of employees,By business size,50+,Maori tourism,Count,1750,2020
Table 6,Count of employees,By business size,50+,Maori tourism,Count,1150,2021
Table 6,Count of employees,By business size,50+,Maori tourism,Count,1050,2022
Table 6,Count of employees,By business size,Total,Maori tourism,Count,2650,2017
Table 6,Count of employees,By business size,Total,Maori tourism,Count,2800,2018
Table 6,Count of employees,By business size,Total,Maori tourism,Count,2750,2019
Table 6,Count of employees,By business size,Total,Maori tourism,Count,3050,2020
Table 6,Count of employees,By business size,Total,Maori tourism,Count,2350,2021
Table 6,Count of employees,By business size,Total,Maori tourism,Count,2300,2022
Table 7,Financials - Maori authorities,Total all industries,Total income,Financial performance,Thousand Dollars,3838095,2017
Table 7,Financials - Maori authorities,Total all industries,Total income,Financial performance,Thousand Dollars,3930266,2018
Table 7,Financials - Maori authorities,Total all industries,Total income,Financial performance,Thousand Dollars,3970610,2019
Table 7,Financials - Maori authorities,Total all industries,Total income,Financial performance,Thousand Dollars,4025150,2020
Table 7,Financials - Maori authorities,Total all industries,Total income,Financial performance,Thousand Dollars,4783097,2021
Table 7,Financials - Maori authorities,Total all industries,Total income,Financial performance,Thousand Dollars,5429403,2022
Table 7,Financials - Maori authorities,Total all industries,Sales of goods and services,Financial performance,Thousand Dollars,2884529,2017
Table 7,Financials - Maori authorities,Total all industries,Sales of goods and services,Financial performance,Thousand Dollars,3276457,2018
Table 7,Financials - Maori authorities,Total all industries,Sales of goods and services,Financial performance,Thousand Dollars,3324987,2019
Table 7,Financials - Maori authorities,Total all industries,Sales of goods and services,Financial performance,Thousand Dollars,3461642,2020
Table 7,Financials - Maori authorities,Total all industries,Sales of goods and services,Financial performance,Thousand Dollars,3745514,2021
Table 7,Financials - Maori authorities,Total all industries,Sales of goods and services,Financial performance,Thousand Dollars,4092684,2022
Table 7,Financials - Maori authorities,Total all industries,"Interest, dividends and donations",Financial performance,Thousand Dollars,251539,2017
Table 7,Financials - Maori authorities,Total all industries,"Interest, dividends and donations",Financial performance,Thousand Dollars,292740,2018
Table 7,Financials - Maori authorities,Total all industries,"Interest, dividends and donations",Financial performance,Thousand Dollars,281051,2019
Table 7,Financials - Maori authorities,Total all industries,"Interest, dividends and donations",Financial performance,Thousand Dollars,293266,2020
Table 7,Financials - Maori authorities,Total all industries,"Interest, dividends and donations",Financial performance,Thousand Dollars,250542,2021
Table 7,Financials - Maori authorities,Total all industries,"Interest, dividends and donations",Financial performance,Thousand Dollars,303048,2022
Table 7,Financials - Maori authorities,Total all industries,"Government funding, grants and subsidies",Financial performance,Thousand Dollars,146726,2017
Table 7,Financials - Maori authorities,Total all industries,"Government funding, grants and subsidies",Financial performance,Thousand Dollars,73100,2018
Table 7,Financials - Maori authorities,Total all industries,"Government funding, grants and subsidies",Financial performance,Thousand Dollars,75130,2019
Table 7,Financials - Maori authorities,Total all industries,"Government funding, grants and subsidies",Financial performance,Thousand Dollars,90545,2020
Table 7,Financials - Maori authorities,Total all industries,"Government funding, grants and subsidies",Financial performance,Thousand Dollars,83323,2021
Table 7,Financials - Maori authorities,Total all industries,"Government funding, grants and subsidies",Financial performance,Thousand Dollars,126284,2022
Table 7,Financials - Maori authorities,Total all industries,Non-operating income,Financial performance,Thousand Dollars,555302,2017
Table 7,Financials - Maori authorities,Total all industries,Non-operating income,Financial performance,Thousand Dollars,287969,2018
Table 7,Financials - Maori authorities,Total all industries,Non-operating income,Financial performance,Thousand Dollars,289441,2019
Table 7,Financials - Maori authorities,Total all industries,Non-operating income,Financial performance,Thousand Dollars,179697,2020
Table 7,Financials - Maori authorities,Total all industries,Non-operating income,Financial performance,Thousand Dollars,703717,2021
Table 7,Financials - Maori authorities,Total all industries,Non-operating income,Financial performance,Thousand Dollars,907387,2022
Table 7,Financials - Maori authorities,Total all industries,Total expenditure,Financial performance,Thousand Dollars,2933819,2017
Table 7,Financials - Maori authorities,Total all industries,Total expenditure,Financial performance,Thousand Dollars,3123326,2018
Table 7,Financials - Maori authorities,Total all industries,Total expenditure,Financial performance,Thousand Dollars,3225904,2019
Table 7,Financials - Maori authorities,Total all industries,Total expenditure,Financial performance,Thousand Dollars,3586422,2020
Table 7,Financials - Maori authorities,Total all industries,Total expenditure,Financial performance,Thousand Dollars,3499721,2021
Table 7,Financials - Maori authorities,Total all industries,Total expenditure,Financial performance,Thousand Dollars,4005951,2022
Table 7,Financials - Maori authorities,Total all industries,Interest and donations,Financial performance,Thousand Dollars,173275,2017
Table 7,Financials - Maori authorities,Total all industries,Interest and donations,Financial performance,Thousand Dollars,198094,2018
Table 7,Financials - Maori authorities,Total all industries,Interest and donations,Financial performance,Thousand Dollars,181341,2019
Table 7,Financials - Maori authorities,Total all industries,Interest and donations,Financial performance,Thousand Dollars,157602,2020
Table 7,Financials - Maori authorities,Total all industries,Interest and donations,Financial performance,Thousand Dollars,133706,2021
Table 7,Financials - Maori authorities,Total all industries,Interest and donations,Financial performance,Thousand Dollars,141289,2022
Table 7,Financials - Maori authorities,Total all industries,Indirect taxes,Financial performance,Thousand Dollars,36364,2017
Table 7,Financials - Maori authorities,Total all industries,Indirect taxes,Financial performance,Thousand Dollars,36767,2018
Table 7,Financials - Maori authorities,Total all industries,Indirect taxes,Financial performance,Thousand Dollars,38557,2019
Table 7,Financials - Maori authorities,Total all industries,Indirect taxes,Financial performance,Thousand Dollars,41686,2020
Table 7,Financials - Maori authorities,Total all industries,Indirect taxes,Financial performance,Thousand Dollars,32203,2021
Table 7,Financials - Maori authorities,Total all industries,Indirect taxes,Financial performance,Thousand Dollars,33123,2022
Table 7,Financials - Maori authorities,Total all industries,Depreciation,Financial performance,Thousand Dollars,151750,2017
Table 7,Financials - Maori authorities,Total all industries,Depreciation,Financial performance,Thousand Dollars,159526,2018
Table 7,Financials - Maori authorities,Total all industries,Depreciation,Financial performance,Thousand Dollars,162641,2019
Table 7,Financials - Maori authorities,Total all industries,Depreciation,Financial performance,Thousand Dollars,193944,2020
Table 7,Financials - Maori authorities,Total all industries,Depreciation,Financial performance,Thousand Dollars,203413,2021
Table 7,Financials - Maori authorities,Total all industries,Depreciation,Financial performance,Thousand Dollars,206328,2022
Table 7,Financials - Maori authorities,Total all industries,Salaries and wages paid,Financial performance,Thousand Dollars,536993,2017
Table 7,Financials - Maori authorities,Total all industries,Salaries and wages paid,Financial performance,Thousand Dollars,602341,2018
Table 7,Financials - Maori authorities,Total all industries,Salaries and wages paid,Financial performance,Thousand Dollars,643729,2019
Table 7,Financials - Maori authorities,Total all industries,Salaries and wages paid,Financial performance,Thousand Dollars,698210,2020
Table 7,Financials - Maori authorities,Total all industries,Salaries and wages paid,Financial performance,Thousand Dollars,661653,2021
Table 7,Financials - Maori authorities,Total all industries,Salaries and wages paid,Financial performance,Thousand Dollars,749818,2022
Table 7,Financials - Maori authorities,Total all industries,Purchases and operating expenses,Financial performance,Thousand Dollars,1926472,2017
Table 7,Financials - Maori authorities,Total all industries,Purchases and operating expenses,Financial performance,Thousand Dollars,2076890,2018
Table 7,Financials - Maori authorities,Total all industries,Purchases and operating expenses,Financial performance,Thousand Dollars,2110662,2019
Table 7,Financials - Maori authorities,Total all industries,Purchases and operating expenses,Financial performance,Thousand Dollars,2347572,2020
Table 7,Financials - Maori authorities,Total all industries,Purchases and operating expenses,Financial performance,Thousand Dollars,2372645,2021
Table 7,Financials - Maori authorities,Total all industries,Purchases and operating expenses,Financial performance,Thousand Dollars,2721741,2022
Table 7,Financials - Maori authorities,Total all industries,Non-operating expenses,Financial performance,Thousand Dollars,108965,2017
Table 7,Financials - Maori authorities,Total all industries,Non-operating expenses,Financial performance,Thousand Dollars,49706,2018
Table 7,Financials - Maori authorities,Total all industries,Non-operating expenses,Financial performance,Thousand Dollars,88975,2019
Table 7,Financials - Maori authorities,Total all industries,Non-operating expenses,Financial performance,Thousand Dollars,147408,2020
Table 7,Financials - Maori authorities,Total all industries,Non-operating expenses,Financial performance,Thousand Dollars,96101,2021
Table 7,Financials - Maori authorities,Total all industries,Non-operating expenses,Financial performance,Thousand Dollars,153652,2022
Table 7,Financials - Maori authorities,Total all industries,Opening stocks,Financial performance,Thousand Dollars,439125,2017
Table 7,Financials - Maori authorities,Total all industries,Opening stocks,Financial performance,Thousand Dollars,530232,2018
Table 7,Financials - Maori authorities,Total all industries,Opening stocks,Financial performance,Thousand Dollars,527000,2019
Table 7,Financials - Maori authorities,Total all industries,Opening stocks,Financial performance,Thousand Dollars,535152,2020
Table 7,Financials - Maori authorities,Total all industries,Opening stocks,Financial performance,Thousand Dollars,553907,2021
Table 7,Financials - Maori authorities,Total all industries,Opening stocks,Financial performance,Thousand Dollars,542974,2022
Table 7,Financials - Maori authorities,Total all industries,Closing stocks,Financial performance,Thousand Dollars,478673,2017
Table 7,Financials - Maori authorities,Total all industries,Closing stocks,Financial performance,Thousand Dollars,559389,2018
Table 7,Financials - Maori authorities,Total all industries,Closing stocks,Financial performance,Thousand Dollars,560087,2019
Table 7,Financials - Maori authorities,Total all industries,Closing stocks,Financial performance,Thousand Dollars,553443,2020
Table 7,Financials - Maori authorities,Total all industries,Closing stocks,Financial performance,Thousand Dollars,561958,2021
Table 7,Financials - Maori authorities,Total all industries,Closing stocks,Financial performance,Thousand Dollars,553202,2022
Table 7,Financials - Maori authorities,Total all industries,Surplus before income tax,Financial performance,Thousand Dollars,943824,2017
Table 7,Financials - Maori authorities,Total all industries,Surplus before income tax,Financial performance,Thousand Dollars,836098,2018
Table 7,Financials - Maori authorities,Total all industries,Surplus before income tax,Financial performance,Thousand Dollars,777793,2019
Table 7,Financials - Maori authorities,Total all industries,Surplus before income tax,Financial performance,Thousand Dollars,457019,2020
Table 7,Financials - Maori authorities,Total all industries,Surplus before income tax,Financial performance,Thousand Dollars,1291427,2021
Table 7,Financials - Maori authorities,Total all industries,Surplus before income tax,Financial performance,Thousand Dollars,1433679,2022
Table 7,Financials - Maori authorities,Total all industries,Operating profit,Financial performance,Thousand Dollars,497487,2017
Table 7,Financials - Maori authorities,Total all industries,Operating profit,Financial performance,Thousand Dollars,597835,2018
Table 7,Financials - Maori authorities,Total all industries,Operating profit,Financial performance,Thousand Dollars,577327,2019
Table 7,Financials - Maori authorities,Total all industries,Operating profit,Financial performance,Thousand Dollars,424730,2020
Table 7,Financials - Maori authorities,Total all industries,Operating profit,Financial performance,Thousand Dollars,683810,2021
Table 7,Financials - Maori authorities,Total all industries,Operating profit,Financial performance,Thousand Dollars,679944,2022
Table 7,Financials - Maori authorities,Total all industries,Total assets,Financial position,Thousand Dollars,20817369,2017
Table 7,Financials - Maori authorities,Total all industries,Total assets,Financial position,Thousand Dollars,23063010,2018
Table 7,Financials - Maori authorities,Total all industries,Total assets,Financial position,Thousand Dollars,24291177,2019
Table 7,Financials - Maori authorities,Total all industries,Total assets,Financial position,Thousand Dollars,24559879,2020
Table 7,Financials - Maori authorities,Total all industries,Total assets,Financial position,Thousand Dollars,25115593,2021
Table 7,Financials - Maori authorities,Total all industries,Total assets,Financial position,Thousand Dollars,27335204,2022
Table 7,Financials - Maori authorities,Total all industries,Current assets,Financial position,Thousand Dollars,2999960,2017
Table 7,Financials - Maori authorities,Total all industries,Current assets,Financial position,Thousand Dollars,4315666,2018
Table 7,Financials - Maori authorities,Total all industries,Current assets,Financial position,Thousand Dollars,3654158,2019
Table 7,Financials - Maori authorities,Total all industries,Current assets,Financial position,Thousand Dollars,3878646,2020
Table 7,Financials - Maori authorities,Total all industries,Current assets,Financial position,Thousand Dollars,4119753,2021
Table 7,Financials - Maori authorities,Total all industries,Current assets,Financial position,Thousand Dollars,3687690,2022
Table 7,Financials - Maori authorities,Total all industries,Fixed tangible assets,Financial position,Thousand Dollars,8893377,2017
Table 7,Financials - Maori authorities,Total all industries,Fixed tangible assets,Financial position,Thousand Dollars,9315934,2018
Table 7,Financials - Maori authorities,Total all industries,Fixed tangible assets,Financial position,Thousand Dollars,9887601,2019
Table 7,Financials - Maori authorities,Total all industries,Fixed tangible assets,Financial position,Thousand Dollars,10209926,2020
Table 7,Financials - Maori authorities,Total all industries,Fixed tangible assets,Financial position,Thousand Dollars,10599663,2021
Table 7,Financials - Maori authorities,Total all industries,Fixed tangible assets,Financial position,Thousand Dollars,11489314,2022
Table 7,Financials - Maori authorities,Total all industries,Other assets,Financial position,Thousand Dollars,8924031,2017
Table 7,Financials - Maori authorities,Total all industries,Other assets,Financial position,Thousand Dollars,9431410,2018
Table 7,Financials - Maori authorities,Total all industries,Other assets,Financial position,Thousand Dollars,10749418,2019
Table 7,Financials - Maori authorities,Total all industries,Other assets,Financial position,Thousand Dollars,10471308,2020
Table 7,Financials - Maori authorities,Total all industries,Other assets,Financial position,Thousand Dollars,10396177,2021
Table 7,Financials - Maori authorities,Total all industries,Other assets,Financial position,Thousand Dollars,12158200,2022
Table 7,Financials - Maori authorities,Total all industries,Total equity and liabilities,Financial position,Thousand Dollars,20817365,2017
Table 7,Financials - Maori authorities,Total all industries,Total equity and liabilities,Financial position,Thousand Dollars,23063009,2018
Table 7,Financials - Maori authorities,Total all industries,Total equity and liabilities,Financial position,Thousand Dollars,24291176,2019
Table 7,Financials - Maori authorities,Total all industries,Total equity and liabilities,Financial position,Thousand Dollars,24559879,2020
Table 7,Financials - Maori authorities,Total all industries,Total equity and liabilities,Financial position,Thousand Dollars,25115586,2021
Table 7,Financials - Maori authorities,Total all industries,Total equity and liabilities,Financial position,Thousand Dollars,27335204,2022
Table 7,Financials - Maori authorities,Total all industries,Shareholders funds or owners equity,Financial position,Thousand Dollars,14503752,2017
Table 7,Financials - Maori authorities,Total all industries,Shareholders funds or owners equity,Financial position,Thousand Dollars,15844069,2018
Table 7,Financials - Maori authorities,Total all industries,Shareholders funds or owners equity,Financial position,Thousand Dollars,16518688,2019
Table 7,Financials - Maori authorities,Total all industries,Shareholders funds or owners equity,Financial position,Thousand Dollars,17037894,2020
Table 7,Financials - Maori authorities,Total all industries,Shareholders funds or owners equity,Financial position,Thousand Dollars,18174206,2021
Table 7,Financials - Maori authorities,Total all industries,Shareholders funds or owners equity,Financial position,Thousand Dollars,20012076,2022
Table 7,Financials - Maori authorities,Total all industries,Current liabilities,Financial position,Thousand Dollars,1973209,2017
Table 7,Financials - Maori authorities,Total all industries,Current liabilities,Financial position,Thousand Dollars,2746501,2018
Table 7,Financials - Maori authorities,Total all industries,Current liabilities,Financial position,Thousand Dollars,2467871,2019
Table 7,Financials - Maori authorities,Total all industries,Current liabilities,Financial position,Thousand Dollars,2620213,2020
Table 7,Financials - Maori authorities,Total all industries,Current liabilities,Financial position,Thousand Dollars,2814923,2021
Table 7,Financials - Maori authorities,Total all industries,Current liabilities,Financial position,Thousand Dollars,2495225,2022
Table 7,Financials - Maori authorities,Total all industries,Other liabilities,Financial position,Thousand Dollars,4340404,2017
Table 7,Financials - Maori authorities,Total all industries,Other liabilities,Financial position,Thousand Dollars,4472439,2018
Table 7,Financials - Maori authorities,Total all industries,Other liabilities,Financial position,Thousand Dollars,5304617,2019
Table 7,Financials - Maori authorities,Total all industries,Other liabilities,Financial position,Thousand Dollars,4901772,2020
Table 7,Financials - Maori authorities,Total all industries,Other liabilities,Financial position,Thousand Dollars,4126457,2021
Table 7,Financials - Maori authorities,Total all industries,Other liabilities,Financial position,Thousand Dollars,4827904,2022
Table 7,Financials - Maori authorities,Total all industries,Total income per employee count,Financial ratios,Dollars,310903,2017
Table 7,Financials - Maori authorities,Total all industries,Total income per employee count,Financial ratios,Dollars,307346,2018
Table 7,Financials - Maori authorities,Total all industries,Total income per employee count,Financial ratios,Dollars,278924,2019
Table 7,Financials - Maori authorities,Total all industries,Total income per employee count,Financial ratios,Dollars,290579,2020
Table 7,Financials - Maori authorities,Total all industries,Total income per employee count,Financial ratios,Dollars,389564,2021
Table 7,Financials - Maori authorities,Total all industries,Total income per employee count,Financial ratios,Dollars,416422,2022
Table 7,Financials - Maori authorities,Total all industries,Surplus per employee count,Financial ratios,Dollars,76454,2017
Table 7,Financials - Maori authorities,Total all industries,Surplus per employee count,Financial ratios,Dollars,65383,2018
Table 7,Financials - Maori authorities,Total all industries,Surplus per employee count,Financial ratios,Dollars,54638,2019
Table 7,Financials - Maori authorities,Total all industries,Surplus per employee count,Financial ratios,Dollars,32993,2020
Table 7,Financials - Maori authorities,Total all industries,Surplus per employee count,Financial ratios,Dollars,105181,2021
Table 7,Financials - Maori authorities,Total all industries,Surplus per employee count,Financial ratios,Dollars,109960,2022
Table 7,Financials - Maori authorities,Total all industries,Current ratio,Financial ratios,Percent,152,2017
Table 7,Financials - Maori authorities,Total all industries,Current ratio,Financial ratios,Percent,157.1,2018
Table 7,Financials - Maori authorities,Total all industries,Current ratio,Financial ratios,Percent,148.1,2019
Table 7,Financials - Maori authorities,Total all industries,Current ratio,Financial ratios,Percent,148,2020
Table 7,Financials - Maori authorities,Total all industries,Current ratio,Financial ratios,Percent,146.4,2021
Table 7,Financials - Maori authorities,Total all industries,Current ratio,Financial ratios,Percent,147.8,2022
Table 7,Financials - Maori authorities,Total all industries,Quick ratio,Financial ratios,Percent,127.8,2017
Table 7,Financials - Maori authorities,Total all industries,Quick ratio,Financial ratios,Percent,136.8,2018
Table 7,Financials - Maori authorities,Total all industries,Quick ratio,Financial ratios,Percent,125.4,2019
Table 7,Financials - Maori authorities,Total all industries,Quick ratio,Financial ratios,Percent,126.9,2020
Table 7,Financials - Maori authorities,Total all industries,Quick ratio,Financial ratios,Percent,126.4,2021
Table 7,Financials - Maori authorities,Total all industries,Quick ratio,Financial ratios,Percent,125.6,2022
Table 7,Financials - Maori authorities,Total all industries,Return on equity,Financial ratios,Percent,6.5,2017
Table 7,Financials - Maori authorities,Total all industries,Return on equity,Financial ratios,Percent,5.3,2018
Table 7,Financials - Maori authorities,Total all industries,Return on equity,Financial ratios,Percent,4.7,2019
Table 7,Financials - Maori authorities,Total all industries,Return on equity,Financial ratios,Percent,2.7,2020
Table 7,Financials - Maori authorities,Total all industries,Return on equity,Financial ratios,Percent,7.1,2021
Table 7,Financials - Maori authorities,Total all industries,Return on equity,Financial ratios,Percent,7.2,2022
Table 7,Financials - Maori authorities,Total all industries,Return on total assets,Financial ratios,Percent,4.5,2017
Table 7,Financials - Maori authorities,Total all industries,Return on total assets,Financial ratios,Percent,3.6,2018
Table 7,Financials - Maori authorities,Total all industries,Return on total assets,Financial ratios,Percent,3.2,2019
Table 7,Financials - Maori authorities,Total all industries,Return on total assets,Financial ratios,Percent,1.9,2020
Table 7,Financials - Maori authorities,Total all industries,Return on total assets,Financial ratios,Percent,5.1,2021
Table 7,Financials - Maori authorities,Total all industries,Return on total assets,Financial ratios,Percent,5.2,2022
Table 7,Financials - Maori authorities,Total all industries,Liabilities structure,Financial ratios,Percent,69.7,2017
Table 7,Financials - Maori authorities,Total all industries,Liabilities structure,Financial ratios,Percent,68.7,2018
Table 7,Financials - Maori authorities,Total all industries,Liabilities structure,Financial ratios,Percent,68,2019
Table 7,Financials - Maori authorities,Total all industries,Liabilities structure,Financial ratios,Percent,69.4,2020
Table 7,Financials - Maori authorities,Total all industries,Liabilities structure,Financial ratios,Percent,72.4,2021
Table 7,Financials - Maori authorities,Total all industries,Liabilities structure,Financial ratios,Percent,73.2,2022
Table 7,Financials - Maori authorities,Total all industries,Debt to equity ratio,Financial ratios,Percent,43.5,2017
Table 7,Financials - Maori authorities,Total all industries,Debt to equity ratio,Financial ratios,Percent,45.6,2018
Table 7,Financials - Maori authorities,Total all industries,Debt to equity ratio,Financial ratios,Percent,47.1,2019
Table 7,Financials - Maori authorities,Total all industries,Debt to equity ratio,Financial ratios,Percent,44.1,2020
Table 7,Financials - Maori authorities,Total all industries,Debt to equity ratio,Financial ratios,Percent,38.2,2021
Table 7,Financials - Maori authorities,Total all industries,Debt to equity ratio,Financial ratios,Percent,36.6,2022
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total income,Financial performance,Thousand Dollars,359250,2017
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total income,Financial performance,Thousand Dollars,463241,2018
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total income,Financial performance,Thousand Dollars,478591,2019
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total income,Financial performance,Thousand Dollars,546438,2020
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total income,Financial performance,Thousand Dollars,540878,2021
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total income,Financial performance,Thousand Dollars,674245,2022
